id,label,desc,birth_time,birth_precision,birth_placedeath_time,death_precision,death_place
Q7249,Agnes Pockels,German chemist,+1862-02-14T00:00:00Z,11,Q641,+1935-11-21T00:00:00Z,11,Q641
Q7262,Emperor Gengshi of Han,emperor of the Han Dynasty,,,,+0025-01-01T00:00:00Z,9,
Q7277,Emperor Zhang of Han,emperor of the Han Dynasty,+0057-01-01T00:00:00Z,9,Q29520,+0088-04-09T00:00:00Z,11,Q29520
Q7290,Annette Salmeen,"American swimmer, Olympic athlete, Rhodes Scholar, biochemist",+1974-12-07T00:00:00Z,11,Q485172,,,Q485172
Q7301,Prince of Hongnong,emperor of the Han Dynasty,+0176-01-01T00:00:00Z,9,Q187136,+0190-03-06T00:00:00Z,11,Q187136
Q7336,Otto Frank,German-born businessman and father of Anne Frank,+1889-05-12T00:00:00Z,11,Q1794,+1980-08-19T00:00:00Z,11,Q1794
Q7339,Margot Frank,older sister of Anne Frank,+1926-02-16T00:00:00Z,11,Q1794,+1945-02-00T00:00:00Z,10,Q1794
Q7346,John Coltrane,American jazz saxophonist,+1926-09-23T00:00:00Z,11,Q1885566,+1967-07-17T00:00:00Z,11,Q1885566
Q7357,Emperor Hui of Jin,emperor of the Jin Dynasty (265–420),+0259-01-01T00:00:00Z,9,Q187136,+0307-01-08T00:00:00Z,11,Q187136
Q7392,Emperor Yuan of Jin,emperor of the Jin Dynasty,+0276-01-01T00:00:00Z,9,Q187136,+0323-01-03T00:00:00Z,11,Q187136
Q7394,Emperor Cheng of Jin,emperor of the Jin Dynasty (265–420),+0321-01-01T00:00:00Z,9,,+0342-07-26T00:00:00Z,11,
Q7396,Emperor Mu of Jin,emperor of the Jin Dynasty (265–420),+0343-01-01T00:00:00Z,9,,+0361-01-01T00:00:00Z,9,
Q7421,Kathryn Uhrich,American chemist,+1965-01-01T00:00:00Z,9,Q236713,,,Q236713
Q7458,Emperor Xianzong of Western Xia,emperor of the Western Xia Dynasty,+1181-01-01T00:00:00Z,9,,+1226-01-01T00:00:00Z,9,
Q7487,Dorothy Hodgkin,British chemist,+1910-05-12T00:00:00Z,11,Q85,+1994-07-29T00:00:00Z,11,Q85
Q7511,Jing Li,Chinese chemist,+2000-00-00T00:00:00Z,7,Q148,,,Q148
Q7514,Olivia Lum,Singaporean businesswoman,+2000-01-01T00:00:00Z,7,Q6359147,,,Q6359147
Q7519,Ögedei Khan,second Great Khan of the Mongol Empire,+1185-11-07T00:00:00Z,11,,+1241-12-11T00:00:00Z,11,
Q7534,Elizabeth J. Feinler,American information scientist,+1931-03-02T00:00:00Z,11,Q838112,,,Q838112
Q7546,Ingmar Bergman,Swedish filmmaker (1918-2007),+1918-07-14T00:00:00Z,11,Q25286,+2007-07-30T00:00:00Z,11,Q25286
Q7549,Sandra Lerner,American entrepreneur and animal rights activist,+1955-01-01T00:00:00Z,9,Q99,,,Q99
Q7658,Heidi Weng,Norwegian female cross-country skier and fell runner,+1991-07-20T00:00:00Z,11,Q2427022,,,Q2427022
Q7728,Grazia Deledda,Italian writer,+1871-09-27T00:00:00Z,11,Q13649,+1936-08-15T00:00:00Z,11,Q13649
Q7789,Ambrogio Bergognone,Italian Renaissance painter,+1453-01-01T00:00:00Z,9,Q20050,+1523-01-01T00:00:00Z,9,Q20050
Q7996,Ivan IV Vasilyevich,Grand Prince of Moscow and 1st Tsar of Russia,+1530-08-25T00:00:00Z,11,Q652464,+1584-03-18T00:00:00Z,11,Q652464
Q8056,Louis Antoine de Pardaillan de Gondrin,French nobleman,+1664-09-05T00:00:00Z,11,Q90,+1736-11-02T00:00:00Z,11,Q90
Q8289,Jamie Selkirk,New Zealand film editor and film producer,+1947-09-14T00:00:00Z,11,Q664,,,Q664
Q8367,Hans Schmidt,German General of the Infantry,+1877-04-28T00:00:00Z,11,Q3012,+1948-06-05T00:00:00Z,11,Q3012
Q8404,John I of France,King of France and Navarre,+1316-11-15T00:00:00Z,11,Q90,+1316-11-20T00:00:00Z,11,Q90
Q8413,Constantine the Great,Roman emperor,+0274-02-27T00:00:00Z,11,Q129259,+0337-05-22T00:00:00Z,11,Q129259
Q8479,Peter the Great,"Tsar and 1st Emperor, founder of the Russian Empire",+1672-05-30T00:00:00Z,11,Q649,+1725-01-28T00:00:00Z,11,Q649
Q8511,Lorenzo di Credi,Italian Renaissance painter and sculptor (1459-1537),+1459-01-01T00:00:00Z,9,Q2044,+1537-01-12T00:00:00Z,11,Q2044
Q8560,Yesün Temür Khan,emperor of the Yuan Dynasty,+1293-11-28T00:00:00Z,11,Q1028086,+1328-08-15T00:00:00Z,11,Q1028086
Q8653,Ragibagh Khan,emperor of the Yuan Dynasty,+1320-01-01T00:00:00Z,9,,+1328-11-14T00:00:00Z,11,
Q8739,Archimedes,"Greek mathematician, physicist, engineer, inventor, and astronomer",-0287-00-00T00:00:00Z,9,Q4420718,-0212-01-01T00:00:00Z,9,Q4420718
Q8797,Aemilius Macer,Roman poet,,,Q2028,-0016-00-00T00:00:00Z,9,Q2028
Q8814,Augustin-Louis Cauchy,French mathematician (1789–1857),+1789-08-21T00:00:00Z,11,Q90,+1857-05-23T00:00:00Z,11,Q90
Q8816,Marc Décimo,"French writer, linguist and art historian",+1958-05-11T00:00:00Z,11,,,,
Q8820,Lucius Varius Rufus,Roman poet,-0074-01-01T00:00:00Z,9,Q42984,-0014-01-01T00:00:00Z,9,Q42984
Q8884,Joey Moe,Danish-Hawaiian hip-hop and pop singer and producer,+1985-07-08T00:00:00Z,11,,,,
Q8948,Arnošt Muka,"German and Sorbian writer, linguist and man of science",+1854-03-10T00:00:00Z,11,Q160468,+1932-10-10T00:00:00Z,11,Q160468
Q8985,Jorightu Khan Yesüder,emperor of the Northern Yuan Dynasty,+1358-01-01T00:00:00Z,9,,+1392-01-01T00:00:00Z,9,
Q9096,Wilfred Bungei,Kenyan middle-distance runner,+1980-07-24T00:00:00Z,11,Q6344243,,,Q6344243
Q9112,Nick Willis,New Zealand middle-distance runner,+1983-04-25T00:00:00Z,11,Q1015681,,,Q1015681
Q9119,Kenenisa Bekele,Ethiopian long-distance runner,+1982-06-13T00:00:00Z,11,Q815044,,,Q815044
Q9132,Sileshi Sihine,Ethiopian long-distance runner,+1983-01-29T00:00:00Z,11,Q202107,,,Q202107
Q9146,Richard Mateelong,Kenyan long-distance runner,+1983-10-14T00:00:00Z,11,Q998813,,,Q998813
Q9162,David Oliver,American hurdling athlete,+1982-04-24T00:00:00Z,11,Q16554,,,Q16554
Q9293,Molon Khan,emperor of the Northern Yuan Dynasty,+1437-01-01T00:00:00Z,9,,+1454-01-01T00:00:00Z,9,
Q9335,Tümen Jasagtu Khan,Khagan of the Northern Yuan Dynasty,+1539-01-01T00:00:00Z,9,Q711,+1592-01-01T00:00:00Z,9,Q711
Q9348,Parmigianino,Italian Mannerist painter and printmaker (1503-1540),+1503-01-11T00:00:00Z,11,Q2683,+1540-08-24T00:00:00Z,11,Q2683
Q9372,Sima Qian,Chinese historian and writer,-0145-01-01T00:00:00Z,9,Q769598,-0086-01-01T00:00:00Z,9,Q769598
Q9434,Arnold Palmer,American golfer,+1929-09-10T00:00:00Z,11,Q969307,+2016-09-25T00:00:00Z,11,Q969307
Q9458,Muhammad,Arabian religious leader and the founder of Islam,+0570-00-00T00:00:00Z,9,Q5806,+0632-06-08T00:00:00Z,11,Q5806
Q9513,A. P. J. Abdul Kalam,"11th President of India, scientist and science administrator",+1931-10-15T00:00:00Z,11,Q12974700,+2015-07-27T00:00:00Z,11,Q12974700
Q9543,Salman Khan,"Indian film actor, producer, playback singer, writer and television personality",+1965-12-27T00:00:00Z,11,Q66616,,,Q66616
Q9554,Martin Luther,"Saxon priest, monk and theologian, seminal figure in Protestant Reformation",+1483-11-10T00:00:00Z,11,Q484870,+1546-02-18T00:00:00Z,11,Q484870
